tourney_id,tourney_country,tourney_city,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_country,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_rank,winner_rank_points,loser_id,loser_country,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2007540,United Kingdom,London,Wimbledon,Grass,128,G,2007-06-25,107,103720,Australia,16.0,Main Draw,Lleyton Hewitt,R,180.0,19.0,1330.0,103084,Argentina,22.0,Main Draw,Guillermo Canas,R,185.0,17.0,1537.0,6-4 3-6 6-3 6-4,5,R32,163.0,8.0,2.0,119.0,66.0,44.0,34.0,19.0,4.0,7.0,17.0,2.0,113.0,66.0,45.0,24.0,19.0,6.0,11.0
2001505,Chile,Vina del Mar,Vina del Mar,Clay,32,A,2001-02-12,6,103852,Spain,0.0,Q,Feliciano Lopez,L,188.0,256.0,135.0,103201,Chile,0.0,WC,Adrian Garcia,R,175.0,252.0,137.0,6-3 6-3,3,R32,74.0,12.0,1.0,55.0,35.0,27.0,13.0,9.0,1.0,1.0,2.0,8.0,67.0,38.0,25.0,13.0,9.0,8.0,11.0
2015520,France,Paris,Roland Garros,Clay,128,G,2015-05-24,2,104180,Luxembourg,0.0,Main Draw,Gilles Muller,L,193.0,55.0,868.0,103893,Italy,0.0,Main Draw,Paolo Lorenzi,R,183.0,86.0,617.0,4-6 4-6 7-6(1) 7-6(5) 6-4,5,R128,242.0,19.0,4.0,168.0,106.0,84.0,30.0,27.0,7.0,12.0,11.0,4.0,177.0,111.0,80.0,36.0,27.0,6.0,10.0
2010402,United States,Memphis,Memphis,Hard,32,A,2010-02-15,8,104607,Czech Republic,5.0,Main Draw,Tomas Berdych,R,196.0,23.0,1545.0,104976,United States,0.0,Q,Ryan Sweeting,R,196.0,159.0,313.0,6-2 6-1,3,R32,57.0,4.0,2.0,39.0,25.0,23.0,10.0,8.0,0.0,0.0,2.0,3.0,53.0,34.0,19.0,7.0,7.0,4.0,8.0
2005475,Poland,Sopot,Sopot,Clay,32,A,2005-08-01,16,104792,France,0.0,Main Draw,Gael Monfils,R,193.0,65.0,585.0,102548,Costa Rica,0.0,Q,Juan Antonio Marin,R,175.0,166.0,248.0,6-0 6-4,3,R32,85.0,1.0,3.0,53.0,26.0,15.0,11.0,8.0,3.0,6.0,0.0,0.0,53.0,17.0,7.0,13.0,8.0,4.0,11.0
2005425,Spain,Barcelona,Barcelona,Clay,56,A,2005-04-18,53,104745,Spain,8.0,Main Draw,Rafael Nadal,L,185.0,11.0,1800.0,103285,Czech Republic,11.0,Main Draw,Radek Stepanek,R,185.0,22.0,1200.0,7-5 6-2,3,SF,80.0,1.0,0.0,47.0,34.0,31.0,9.0,10.0,0.0,0.0,7.0,3.0,63.0,41.0,28.0,8.0,10.0,2.0,5.0
2009520,France,Paris,Roland Garros,Clay,128,G,2009-05-25,5,104417,Sweden,23.0,Main Draw,Robin Soderling,R,193.0,25.0,1775.0,103240,United States,0.0,Main Draw,Kevin Kim,R,180.0,91.0,821.0,7-6(4) 7-6(4) 6-2,5,R128,137.0,11.0,4.0,99.0,52.0,41.0,25.0,16.0,3.0,7.0,10.0,3.0,112.0,56.0,40.0,23.0,16.0,7.0,13.0
2005423,United States,Los Angeles,Los Angeles,Hard,32,A,2005-07-25,4,103387,Thailand,0.0,Main Draw,Paradorn Srichaphan,R,185.0,44.0,800.0,104339,Croatia,6.0,Main Draw,Mario Ancic,R,196.0,30.0,1115.0,7-6(6) 6-7(4) 6-2,3,R32,177.0,10.0,2.0,99.0,56.0,42.0,26.0,16.0,1.0,2.0,11.0,8.0,130.0,67.0,45.0,33.0,16.0,6.0,9.0
2001338,Australia,Sydney,Sydney,Hard,32,A,2001-01-08,28,103720,Australia,2.0,Main Draw,Lleyton Hewitt,R,180.0,7.0,2560.0,102148,France,0.0,Main Draw,Fabrice Santoro,R,178.0,46.0,815.0,6-4 6-1,3,QF,73.0,0.0,1.0,46.0,24.0,18.0,15.0,8.0,1.0,2.0,4.0,2.0,66.0,37.0,19.0,12.0,9.0,6.0,11.0
20156932,Brazil,Rio de Janeiro,Rio de Janeiro,Clay,32,A,2015-02-16,25,104745,Spain,1.0,Main Draw,Rafael Nadal,L,185.0,3.0,5745.0,104655,Uruguay,6.0,Main Draw,Pablo Cuevas,R,180.0,23.0,1447.0,4-6 7-5 6-0,3,QF,125.0,2.0,3.0,72.0,46.0,35.0,17.0,14.0,0.0,2.0,6.0,3.0,82.0,41.0,27.0,20.0,14.0,7.0,12.0
